ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
571226_095,77.0,9,3,39.5467,-5,34,54.676,135.91477790000002,-5.581854444,287,153,0.0,500.0,232.647936,31.238632,203321.4017,235.25548500000002,30.158831,201309.3389,232.2,27.26,2018-04-18T13:16:56.916414,237.7460484468911,29.62342906721043
571311_057,72.0,9,7,48.3132,-9,33,35.007,136.951305,-9.559724167,250,128,0.0,500.0,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,232.4,27.09,2018-04-18T13:17:59.811226,234.02632324470784,27.196814479356533
571332_057,72.0,8,59,32.4253,-8,53,6.271,134.8851054,-8.885075278,341,230,150.0,460.0,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,232.4,27.09,2018-04-18T13:17:59.811226,236.47458759143177,26.558767662743588
571342_058,73.5,8,55,56.9275,-8,35,19.427,133.9871979,-8.588729722,488,9,472.0,497.0,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,232.4,27.09,2018-04-18T13:17:59.811226,237.19630597066362,25.949116920734085
571913_111,103.5,9,14,42.2521,-8,5,19.625999999999998,138.6760504,-8.088785000000001,323,230,140.0,480.0,233.66101899999998,29.021196000000003,202557.5758,234.712921,27.689328999999997,198138.8948,232.4,27.09,2018-04-18T13:24:29.921560,234.69915425610793,28.00512654393138
572125_014,69.0,9,16,21.8317,-6,26,14.025,139.09096540000002,-6.437229167000001,227,195,30.0,420.0,232.00517000000002,30.270453000000003,203870.732,234.81553300000002,29.418033,202953.21399999998,231.5,27.76,2018-04-18T13:26:49.352229,236.37744565809797,29.3693390423518
572126_014,111.5,9,17,23.3033,-5,41,58.946999999999996,139.34709709999998,-5.6997075,419,245,350.0,490.0,232.00517000000002,30.270453000000003,203870.732,234.81553300000002,29.418033,202953.21399999998,231.5,27.76,2018-04-18T13:26:49.352229,236.94686805030983,30.275407097788793
572211_063,124.5,9,20,28.5457,-9,28,39.202,140.1189404,-9.477556111,183,69,90.0,260.0,232.72604700000002,28.001289,197774.9077,233.466469,25.561245,199190.7933,231.7,27.59,2018-04-18T13:27:52.240936,233.450945596271,27.648103136357705
572311_102,71.0,9,20,32.5753,-9,34,57.536,140.1357304,-9.582648889,196,148,50.0,350.0,232.18951600000003,27.371878999999996,195568.8488,234.81784100000002,26.321669,197250.4379,232.0,27.42,2018-04-18T13:28:55.117344,233.65707701390963,27.48731924214034
572414_094,156.0,9,20,36.1708,-7,14,2.912,140.1507117,-7.234142222000001,206,191,170.0,240.0,234.56004700000003,26.927944,193357.04,233.87389900000002,25.168036999999998,199671.2148,232.2,27.25,2018-04-18T13:29:58.001952,235.3777233639484,28.813598350269558
572421_095,156.0,9,16,20.4541,-9,37,14.708,139.08522539999998,-9.620752222,230,178,190.0,280.0,234.56004700000003,26.927944,193357.04,233.87389900000002,25.168036999999998,199671.2148,232.2,27.25,2018-04-18T13:29:58.001952,234.743870075448,26.62307967839803
572514_006,81.5,9,20,48.3046,-7,16,10.628,140.20126919999998,-7.269618889,244,218,15.0,490.0,232.22131800000002,30.145471999999998,199118.2736,235.34844700000002,28.419689,196870.6914,232.4,27.09,2018-04-18T13:31:00.887260,235.55224882753117,28.674298081381032
572514_006,81.5,9,20,48.3046,-7,16,10.628,140.20126919999998,-7.269618889,244,218,15.0,490.0,236.35384700000003,27.832946999999997,196320.2591,237.27279,27.259365999999996,195848.1295,232.4,27.09,2018-04-18T13:31:00.887260,235.55224882753117,28.674298081381032
572524_007,81.5,9,16,27.4297,-7,5,56.17,139.11429040000002,-7.098936111,247,91,15.0,490.0,232.22131800000002,30.145471999999998,199118.2736,235.34844700000002,28.419689,196870.6914,232.4,27.09,2018-04-18T13:31:00.887260,236.45359501870155,27.943358247739578
572524_007,81.5,9,16,27.4297,-7,5,56.17,139.11429040000002,-7.098936111,247,91,15.0,490.0,236.35384700000003,27.832946999999997,196320.2591,237.27279,27.259365999999996,195848.1295,232.4,27.09,2018-04-18T13:31:00.887260,236.45359501870155,27.943358247739578
572534_007,79.0,9,13,24.3132,-6,58,40.152,138.351305,-6.9778199999999995,491,2,485.0,498.0,232.22131800000002,30.145471999999998,199118.2736,235.34844700000002,28.419689,196870.6914,232.4,27.09,2018-04-18T13:31:00.887260,237.8558034545575,28.151213266475363
572534_007,79.0,9,13,24.3132,-6,58,40.152,138.351305,-6.9778199999999995,491,2,485.0,498.0,236.35384700000003,27.832946999999997,196320.2591,237.27279,27.259365999999996,195848.1295,232.4,27.09,2018-04-18T13:31:00.887260,237.8558034545575,28.151213266475363
572622_107,118.5,9,23,45.2415,-8,53,33.524,140.9385063,-8.892645556,393,236,320.0,460.0,233.419423,28.330595000000002,193373.2813,234.34486800000002,25.890725,201041.678,231.3,27.93,2018-04-18T13:32:16.602614,234.4388890657496,28.210858092180224
572631_108,119.0,9,18,35.7331,-9,35,12.615,139.6488879,-9.5868375,250,158,50.0,470.0,233.419423,28.330595000000002,193373.2813,234.34486800000002,25.890725,201041.678,231.3,27.93,2018-04-18T13:32:16.602614,234.75445171034852,26.61452736755867
